City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
laguna,38.421,-121.4238,48.06,39.0,1.0,1.34,US,1629948078.0
vaini,-21.2,-175.2,44.27,64.0,20.0,6.69,TO,1629948078.0
tessalit,20.1986,1.0114,47.52,51.0,9.0,4.29,ML,1629948078.0
khatanga,71.9667,102.5,33.98,73.0,100.0,5.91,RU,1629948078.0
busselton,-33.65,115.3333,40.66,76.0,77.0,10.72,AU,1629948079.0
ambovombe,-25.1667,46.0833,42.37,90.0,3.0,2.98,MG,1629948079.0
pacific grove,36.6177,-121.9166,43.25,86.0,90.0,1.34,US,1629948081.0
avarua,-21.2078,-159.775,43.13,88.0,90.0,1.03,CK,1629947909.0
new norfolk,-42.7826,147.0587,38.08,78.0,99.0,1.34,AU,1629948081.0
dikson,73.5069,80.5464,33.62,83.0,100.0,6.83,RU,1629948082.0
husavik,66.0449,-17.3389,40.31,79.0,49.0,4.92,IS,1629948082.0
ocampo,21.65,-101.5,39.63,82.0,62.0,6.72,MX,1629948082.0
bredasdorp,-34.5322,20.0403,37.34,87.0,28.0,2.06,ZA,1629948082.0
pavilosta,56.8879,21.1859,39.21,93.0,98.0,4.41,LV,1629948084.0
provideniya,64.3833,-173.3,35.92,87.0,90.0,9.0,RU,1629948084.0
rikitea,-23.1203,-134.9692,44.32,63.0,52.0,6.87,PF,1629948084.0
ushuaia,-54.8,-68.3,32.45,64.0,40.0,0.0,AR,1629947888.0
yellowknife,62.456,-114.3525,41.05,63.0,20.0,3.09,CA,1629948000.0
atuona,-9.8,-139.0333,45.93,78.0,23.0,6.95,PF,1629948085.0
strezhevoy,60.7333,77.5889,43.66,57.0,2.0,2.73,RU,1629948085.0
bonavista,48.6499,-53.1147,39.75,86.0,93.0,4.23,CA,1629948086.0
hambantota,6.1241,81.1185,47.73,72.0,23.0,7.35,LK,1629948086.0
port elizabeth,-33.918,25.5701,41.29,82.0,0.0,1.54,ZA,1629948086.0
longyearbyen,78.2186,15.6401,35.84,70.0,75.0,2.57,SJ,1629948087.0
jamestown,42.097,-79.2353,44.67,82.0,1.0,1.34,US,1629948087.0
qaanaaq,77.484,-69.3632,33.59,95.0,100.0,3.89,GL,1629948087.0
luderitz,-26.6481,15.1594,38.44,87.0,0.0,1.73,NA,1629948087.0
lima,-12.0432,-77.0282,40.41,82.0,90.0,4.63,PE,1629947827.0
thompson,55.7435,-97.8558,36.49,81.0,1.0,0.0,CA,1629948088.0
severo-kurilsk,50.6789,156.125,39.57,81.0,84.0,4.32,RU,1629948088.0
georgetown,5.4112,100.3354,48.09,80.0,20.0,0.45,MY,1629948035.0
arraial do cabo,-22.9661,-42.0278,44.28,86.0,0.0,14.0,BR,1629948089.0
lensk,60.7253,114.9278,40.39,85.0,93.0,5.32,RU,1629948089.0
tuktoyaktuk,69.4541,-133.0374,37.0,93.0,90.0,6.17,CA,1629948089.0
ust-maya,60.4167,134.5333,40.91,59.0,100.0,2.45,RU,1629948090.0
cape town,-33.9258,18.4232,39.99,85.0,75.0,3.58,ZA,1629948015.0
berlevag,70.8578,29.0864,35.33,85.0,47.0,4.61,NO,1629948090.0
dabola,10.75,-11.1167,43.54,93.0,100.0,1.02,GN,1629948090.0
nikolskoye,59.7035,30.7861,38.18,79.0,100.0,4.08,RU,1629948091.0
mahebourg,-20.4081,57.7,42.88,94.0,40.0,2.57,MU,1629948092.0
port alfred,-33.5906,26.891,43.09,33.0,36.0,3.89,ZA,1629948092.0
mocuba,-16.8392,36.9856,42.35,91.0,0.0,1.11,MZ,1629948093.0
guangyuan,32.442,105.823,43.73,83.0,100.0,1.78,CN,1629948093.0
punta arenas,-53.15,-70.9167,33.7,81.0,90.0,3.09,CL,1629948093.0
mar del plata,-38.0023,-57.5575,35.89,76.0,0.0,4.12,AR,1629948094.0
puerto ayora,-0.7393,-90.3518,43.28,91.0,89.0,3.58,EC,1629948094.0
nhulunbuy,-12.2333,136.7667,48.3,51.0,20.0,8.75,AU,1629948094.0
semirara,12.0697,121.3986,46.28,88.0,100.0,6.93,PH,1629948095.0
port blair,11.6667,92.75,46.33,84.0,100.0,6.95,IN,1629948095.0
awbari,26.5921,12.7805,46.4,26.0,0.0,3.27,LY,1629948095.0
kieta,-6.2167,155.6333,48.09,72.0,65.0,2.65,PG,1629948095.0
carnarvon,-24.8667,113.6333,44.24,64.0,36.0,6.17,AU,1629948096.0
upernavik,72.7868,-56.1549,34.8,91.0,100.0,8.24,GL,1629948096.0
nanortalik,60.1432,-45.2371,35.95,91.0,100.0,1.86,GL,1629948096.0
yulara,-25.2406,130.9889,42.51,16.0,0.0,3.09,AU,1629948097.0
katsuura,35.1333,140.3,50.37,72.0,100.0,1.35,JP,1629948097.0
hobart,-42.8794,147.3294,38.19,76.0,75.0,0.89,AU,1629948019.0
kapaa,22.0752,-159.319,48.21,67.0,75.0,1.34,US,1629948097.0
micheweni,-4.9667,39.8333,44.76,74.0,2.0,4.87,TZ,1629948098.0
hobyo,5.3505,48.5268,45.96,86.0,54.0,9.24,SO,1629948098.0
porto novo,6.4965,2.6036,46.39,91.0,75.0,2.06,BJ,1629948098.0
qaqortoq,60.7167,-46.0333,36.6,89.0,100.0,1.86,GL,1629948099.0
albany,42.6001,-73.9662,45.28,89.0,53.0,1.39,US,1629948039.0
sisimiut,66.9395,-53.6735,35.1,93.0,100.0,6.9,GL,1629948099.0
kahului,20.8947,-156.47,48.12,48.0,40.0,8.23,US,1629948099.0
fairbanks,64.8378,-147.7164,40.33,88.0,40.0,1.54,US,1629947996.0
narsaq,60.9167,-46.05,36.51,76.0,100.0,0.74,GL,1629948100.0
alugan,12.2188,125.4808,45.93,89.0,100.0,2.79,PH,1629948100.0
san pedro,14.35,121.0167,47.85,78.0,99.0,3.5,PH,1629948100.0
hermanus,-34.4187,19.2345,39.68,80.0,30.0,8.36,ZA,1629948101.0
chabahar,25.2919,60.643,47.17,79.0,3.0,0.6,IR,1629948101.0
coahuayana,18.7333,-103.6833,46.82,89.0,83.0,0.81,MX,1629948102.0
bluff,-46.6,168.3333,36.57,89.0,100.0,7.97,NZ,1629948102.0
russell,32.3502,-85.1999,44.77,91.0,20.0,0.0,US,1629948102.0
ponta do sol,32.6667,-17.1,44.97,75.0,16.0,0.72,PT,1629948103.0
